VEL_TYPE,MESH_TYPE,VELOCITY,ORDER,RES,DT,COURANT,W_NORM,V_NORM
v_rigid_body,simp_reg,1,1,16,0.5,16.9706,0.00054351,0.00015088
v_rigid_body,simp_reg,1,1,16,0.1,3.394113,0.00846641,0.00445705
v_rigid_body,simp_reg,1,1,16,0.01,0.339411,0.10257851,0.06429816
v_rigid_body,simp_reg,1,1,16,0.001,0.033941,0.19031896,0.10329487
v_rigid_body,simp_reg,1,1,16,0.00125,0.04243,0.17668453,0.09934121
v_rigid_body,simp_reg,1,1,16,0.0025,0.08485,0.14942683,0.09105614
v_rigid_body,simp_reg,1,1,16,0.005,0.16971,0.12998097,0.08160773
v_rigid_body,simp_reg,1,1,16,0.00625,0.21213,0.12270291,0.07721123
v_rigid_body,simp_reg,1,1,16,0.0125,0.42426,0.08969711,0.055888
v_rigid_body,simp_reg,1,1,16,0.025,0.84853,0.0289544,0.01712309
v_rigid_body,simp_reg,1,1,16,0.05,1.69706,0.02686765,0.0149104
v_rigid_body,simp_reg,1,1,32,0.5,33.9411,,
v_rigid_body,simp_reg,1,1,32,0.1,6.788225,0.00251346,0.00092098
v_rigid_body,simp_reg,1,1,32,0.01,0.678823,0.0156307,0.0080954
v_rigid_body,simp_reg,1,1,32,0.001,0.067882,0.08713868,0.03533926
v_rigid_body,simp_reg,1,1,32,0.00125,0.08485,0.07557968,0.03183931
v_rigid_body,simp_reg,1,1,32,0.0025,0.16971,0.04991852,0.02448343
v_rigid_body,simp_reg,1,1,32,0.005,0.33941,0.01710144,0.00893239
v_rigid_body,simp_reg,1,1,32,0.00625,0.42426,0.02751727,0.01501784
v_rigid_body,simp_reg,1,1,32,0.0125,0.84853,0.00989121,0.00435976
v_rigid_body,simp_reg,1,1,32,0.025,1.69706,0.0071398,0.00361718
v_rigid_body,simp_reg,1,1,32,0.05,3.39411,0.00256374,0.00097684
v_rigid_body,simp_reg,1,1,64,0.5,67.8823,,
v_rigid_body,simp_reg,1,1,64,0.1,13.57645,0.00102778,0.00013195
v_rigid_body,simp_reg,1,1,64,0.01,1.357645,0.00640381,0.00091746
v_rigid_body,simp_reg,1,1,64,0.001,0.135765,0.05705224,0.01376212
v_rigid_body,simp_reg,1,1,64,0.00125,0.16971,0.04753399,0.01151596
v_rigid_body,simp_reg,1,1,64,0.0025,0.33941,0.02589963,0.00663864
v_rigid_body,simp_reg,1,1,64,0.005,0.67882,0.01299193,0.00299116
v_rigid_body,simp_reg,1,1,64,0.00625,0.84853,0.01014068,0.00191535
v_rigid_body,simp_reg,1,1,64,0.0125,1.69706,0.00543467,0.00101313
v_rigid_body,simp_reg,1,1,64,0.025,3.39411,0.00270847,0.00032959
v_rigid_body,simp_reg,1,1,64,0.05,6.78823,0.00161893,0.00033755
v_rigid_body,simp_reg,1,1,128,0.5,135.765,,
v_rigid_body,simp_reg,1,1,128,0.1,27.1529,0.00093833,0.00004084
v_rigid_body,simp_reg,1,1,128,0.01,2.71529,0.00401639,0.00035328
v_rigid_body,simp_reg,1,1,128,0.001,0.27153,0.03231496,0.00362643
v_rigid_body,simp_reg,1,1,128,0.00125,0.33941,0.02695242,0.00293008
v_rigid_body,simp_reg,1,1,128,0.0025,0.67882,0.01460814,0.00133511
v_rigid_body,simp_reg,1,1,128,0.005,1.35765,0.00765621,0.00044913
v_rigid_body,simp_reg,1,1,128,0.00625,1.69706,0.00629089,0.00041256
v_rigid_body,simp_reg,1,1,128,0.0125,3.39411,0.00329904,0.00018417
v_rigid_body,simp_reg,1,1,128,0.025,6.78823,0.00192219,0.00015278
v_rigid_body,simp_reg,1,1,128,0.05,13.5765,0.00134209,0.0000717
v_rigid_body,simp_irreg,1,1,16,0.5,21.1938,0.0008436,0.00019463
v_rigid_body,simp_irreg,1,1,16,0.1,4.23876,0.00703956,0.00390477
v_rigid_body,simp_irreg,1,1,16,0.01,0.42388,0.09395897,0.06032839
v_rigid_body,simp_irreg,1,1,16,0.001,0.04239,0.14945809,0.09325996
v_rigid_body,simp_irreg,1,1,16,0.00125,0.05299,0.14517363,0.09186078
v_rigid_body,simp_irreg,1,1,16,0.0025,0.10597,0.13414181,0.08671849
v_rigid_body,simp_irreg,1,1,16,0.005,0.21194,0.11990661,0.07768153
v_rigid_body,simp_irreg,1,1,16,0.00625,0.26492,0.11329526,0.07327068
v_rigid_body,simp_irreg,1,1,16,0.0125,0.52985,0.08137483,0.05196579
v_rigid_body,simp_irreg,1,1,16,0.025,1.05969,0.0236757,0.01463722
v_rigid_body,simp_irreg,1,1,16,0.05,2.11938,0.02274384,0.01318838
v_rigid_body,simp_irreg,1,1,32,0.5,37.956,,
v_rigid_body,simp_irreg,1,1,32,0.1,7.5912,0.00228122,0.00084378
v_rigid_body,simp_irreg,1,1,32,0.01,0.75912,0.01390961,0.00870213
v_rigid_body,simp_irreg,1,1,32,0.001,0.07591,0.04437238,0.02725805
v_rigid_body,simp_irreg,1,1,32,0.00125,0.09489,0.04186227,0.02596664
v_rigid_body,simp_irreg,1,1,32,0.0025,0.18978,0.03502956,0.0220491
v_rigid_body,simp_irreg,1,1,32,0.005,0.37956,0.02642496,0.01666225
v_rigid_body,simp_irreg,1,1,32,0.00625,0.47445,0.02281597,0.01436945
v_rigid_body,simp_irreg,1,1,32,0.0125,0.9489,0.00964534,0.00598487
v_rigid_body,simp_irreg,1,1,32,0.025,1.8978,0.00271568,0.00121757
v_rigid_body,simp_irreg,1,1,32,0.05,3.7956,0.00318735,0.00130992
